                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5338,                 5.3289,                 4.2336,                0.00118,                0.22782,                0.00152,                0.00048,                 4.1673,                 9.5996,                 4.1563,                0.00044,                0.00044,                0.00044
                      2,                 3.3005,                 4.5717,                 3.9596,                0.00099,                0.20384,                0.00103,                 0.0004,                 4.0816,                 8.7449,                 4.1237,             0.00089109,             0.00089109,             0.00089109
                      3,                  3.033,                 3.7866,                 3.6805,                0.00194,                0.15588,                0.00182,                0.00072,                 4.1334,                 6.6863,                 4.1514,              0.0013331,              0.0013331,              0.0013331
                      4,                 2.6662,                 3.1147,                 3.1793,                0.00209,                0.18465,                0.03618,                 0.0105,                 3.3642,                 5.7755,                 3.4685,              0.0017659,              0.0017659,              0.0017659
                      5,                 2.5047,                 2.9086,                 2.7743,                0.37319,                 0.1223,                0.08188,                0.03376,                 3.0878,                 4.0951,                 3.7039,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.4349,                  2.553,                 2.5903,                0.42857,                0.03597,                 0.0578,                0.01585,                 2.8507,                  23.54,                 4.7431,               0.001901,               0.001901,               0.001901
                      7,                  2.214,                 2.1508,                 2.3891,                0.28281,                0.34053,                0.22809,                0.09453,                 2.0673,                 3.8102,                 2.8742,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0846,                  1.962,                 2.2567,                0.14836,                0.11751,                0.11132,                0.04225,                 2.5305,                 6.5117,                 2.5441,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9926,                 1.7678,                  2.203,                 0.7272,                0.72875,                0.72556,                0.40395,                 1.7937,                 1.7931,                 1.8773,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.9848,                 1.7619,                 2.1651,                0.80632,                0.77873,                0.76295,                0.36378,                 1.9227,                  1.627,                 1.9459,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8655,                 1.6879,                 2.0689,                0.70509,                0.60202,                0.63942,                0.34321,                 1.7751,                 1.6795,                 1.8035,               0.001802,               0.001802,               0.001802
                     12,                 1.8785,                 1.6253,                 2.0532,                0.78996,                0.76978,                0.82491,                 0.4273,                 1.5987,                 1.3045,                 1.7348,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.7847,                 1.5173,                 1.9235,                0.72307,                0.70753,                0.75987,                0.41242,                 1.5675,                 1.4659,                 1.7379,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8016,                 1.4574,                 1.8881,                0.74624,                0.80395,                0.76281,                0.36939,                 1.7381,                  1.471,                 1.7989,              0.0017426,              0.0017426,              0.0017426
